date,value,cash,drawdown,long_exposure,short_exposure,net_exposure,net_exposure_pct,index_exposure,components_exposure,recovery_mode,return,cumulative_return
2021-06-29,1689573.1489497211,1897396.4368472851,0.1791012929634847,0.0,-207276.25202383986,-207276.25202383986,-0.12267965559981094,0.0,-207276.25202383986,True,-0.006396083871295755,0.6895731489497217
2021-06-30,1699726.3434645077,1902101.3308624346,0.17416824567005465,0.0,-192965.19936762887,-192965.19936762887,-0.11352721578363782,0.0,-192965.19936762887,True,0.006009325208025551,0.6997263434645082
2021-07-01,1705977.8235985078,1902766.9993700956,0.17113089155356953,0.0,-195457.83875626686,-195457.83875626686,-0.11457232096017372,0.0,-195457.83875626686,True,0.0036779333085217303,0.7059778235985081
2021-07-02,1676659.8999176538,1903528.396797764,0.18537534475026538,0.0,-225345.70202477337,-225345.70202477337,-0.13440155754654884,0.0,-225345.70202477337,True,-0.017185407263391128,0.6766598999176541
2021-07-06,1651115.055493844,1958861.3129240845,0.19778660363656436,21961.208261256485,-300696.83619644184,-278735.62793518533,-0.16881659882376657,-49179.60918045182,-229556.01875473352,True,-0.015235555180310834,0.6511150554938443
2021-07-07,1671357.7650662225,2030893.1555020632,0.18795144845242162,36268.402323162685,-336026.79119885794,-299758.38887569524,-0.1793502235972908,-75024.84278992674,-224733.54608576855,True,0.012260023615570548,0.6713577650662228
2021-07-08,1741215.022888565,2088635.2347941992,0.15401048966106956,61428.12738578915,-380810.6319194174,-319382.50453362823,-0.18342507980650946,-132265.28143815818,-187117.22309547,True,0.04179671120238848,0.7412150228885652
2021-07-09,1841289.926779388,2079060.2153638932,0.10538793711763729,24035.34632185825,-280955.67376697616,-256920.3274451179,-0.13953279367280247,-102204.40293962303,-154715.92450549488,True,0.057474178993014435,0.8412899267793883
2021-07-12,1997936.2581247452,2089275.1150607048,0.029279500532129053,13124.116510051863,-84033.17405238804,-70909.05754233617,-0.03549115105848828,-84033.17405238804,13124.116510051863,True,0.08507423468032993,0.9979362581247455
2021-07-13,2023314.1118908552,2086488.6017071921,0.01694937599332968,10093.916021792067,-78841.43254515438,-68747.51652336231,-0.033977678561790604,-78841.43254515438,10093.916021792067,True,0.012702033742522767,1.0233141118908557
