date,ticker,trade_type,position_type,quantity,price,value,strike,expiration,option_type,strategy,exit_reason
2021-03-18,T,open,option,3,0.5845859895435019,175.3757968630506,17,2021-04-19,call,dispersion,
2021-03-18,T,open,option,4,0.4534531040293448,181.38124161173792,17,2021-04-19,put,dispersion,
2021-03-18,VZ,open,option,1,1.7636627800313356,176.36627800313357,44,2021-04-19,call,dispersion,
2021-03-18,VZ,open,option,1,1.3881788156343404,138.81788156343404,44,2021-04-19,put,dispersion,
2021-03-18,DIS,open,option,1,10.964520308212201,1096.45203082122,190,2021-04-19,call,dispersion,
2021-03-18,DIS,open,option,1,10.698037262378449,1069.8037262378448,190,2021-04-19,put,dispersion,
2021-03-18,PLTR,open,option,1,3.613764171437751,361.3764171437751,24,2021-04-19,call,dispersion,
2021-03-18,PLTR,open,option,1,3.5917193098428335,359.17193098428334,24,2021-04-19,put,dispersion,
2021-03-18,ISRG,open,option,1,11.41213953729735,1141.2139537297348,233,2021-04-19,call,dispersion,
2021-03-18,ISRG,open,option,1,10.897275367521459,1089.7275367521459,233,2021-04-19,put,dispersion,
2021-03-18,QCOM,open,option,1,8.407480288701741,840.7480288701742,119,2021-04-19,call,dispersion,
2021-03-18,QCOM,open,option,1,8.163246608047267,816.3246608047267,119,2021-04-19,put,dispersion,
2021-03-18,ADBE,open,option,1,22.68359097807226,2268.359097807226,439,2021-04-19,call,dispersion,
2021-03-18,ADBE,open,option,1,21.734519335689868,2173.4519335689865,439,2021-04-19,put,dispersion,
2021-03-18,RTX,open,option,1,3.3762639861378005,337.62639861378005,71,2021-04-19,call,dispersion,
2021-03-18,RTX,open,option,1,3.3867599822865557,338.67599822865554,71,2021-04-19,put,dispersion,
2021-03-18,NOW,open,option,1,34.35410620130938,3435.410620130938,466,2021-04-19,call,dispersion,
2021-03-18,NOW,open,option,1,33.357733574648506,3335.7733574648505,466,2021-04-19,put,dispersion,
2021-03-18,GS,open,option,1,12.647859339338993,1264.7859339338993,315,2021-04-19,call,dispersion,
2021-03-18,GS,open,option,1,12.08875133916311,1208.875133916311,315,2021-04-19,put,dispersion,
2021-03-18,AMGN,open,option,1,6.380402465840589,638.0402465840589,215,2021-04-19,call,dispersion,
2021-03-18,AMGN,open,option,1,5.528984517028647,552.8984517028647,215,2021-04-19,put,dispersion,
2021-03-19,AAPL,close,option,-4,5.755854216649006,-2302.341686659602,118,2021-04-19,call,dispersion,stop_loss
2021-03-19,AMZN,close,option,-3,4.759221727535923,-1427.766518260777,151,2021-04-19,put,dispersion,stop_loss
2021-03-19,META,close,option,-1,9.371597263247352,-937.1597263247352,277,2021-04-19,put,dispersion,stop_loss
2021-03-19,AVGO,close,option,-2,2.4124591110740568,-482.49182221481135,42,2021-04-19,put,dispersion,stop_loss
2021-03-19,JPM,close,option,-1,3.510636304838741,-351.0636304838741,141,2021-04-19,call,dispersion,stop_loss
2021-03-19,V,close,option,-1,4.353817769494576,-435.3817769494576,214,2021-04-19,call,dispersion,stop_loss
2021-03-19,UNH,close,option,-1,8.409044552110203,-840.9044552110203,342,2021-04-19,put,dispersion,stop_loss
2021-03-19,MA,close,option,-1,13.029016624827847,-1302.9016624827846,359,2021-04-19,call,dispersion,stop_loss
2021-03-19,COST,close,option,-1,6.415256224966711,-641.5256224966711,307,2021-04-19,put,dispersion,stop_loss
2021-03-19,NFLX,close,option,-1,20.773792291387906,-2077.379229138791,505,2021-04-19,put,dispersion,stop_loss
2021-03-19,PG,close,option,-1,2.4116605470976538,-241.16605470976538,117,2021-04-19,call,dispersion,stop_loss
2021-03-19,WMT,close,option,-2,1.3893340148985978,-277.8668029797195,41,2021-04-19,put,dispersion,stop_loss
2021-03-19,HD,close,option,-1,7.213174242523877,-721.3174242523877,257,2021-04-19,put,dispersion,stop_loss
2021-03-19,BAC,close,option,-1,1.3382375164297393,-133.82375164297395,35,2021-04-19,call,dispersion,stop_loss
2021-03-19,KO,close,option,-2,1.1378628679711227,-227.57257359422454,45,2021-04-19,put,dispersion,stop_loss
2021-03-19,CRM,close,option,-1,8.976585952978397,-897.6585952978396,208,2021-04-19,put,dispersion,stop_loss
2021-03-19,MRK,close,option,-1,1.3397107134604944,-133.97107134604943,65,2021-04-19,put,dispersion,stop_loss
2021-03-19,PM,close,option,-1,1.8277743326721563,-182.77743326721563,73,2021-04-19,call,dispersion,stop_loss
2021-03-19,PM,close,option,-1,1.8257057600105213,-182.57057600105213,73,2021-04-19,put,dispersion,stop_loss
2021-03-19,CSCO,close,option,-1,1.4079886522925733,-140.79886522925733,43,2021-04-19,put,dispersion,stop_loss
2021-03-19,WFC,close,option,-1,1.578381889845021,-157.8381889845021,37,2021-04-19,call,dispersion,stop_loss
2021-03-19,IBM,close,option,-1,3.114853112838354,-311.48531128383536,104,2021-04-19,call,dispersion,stop_loss
2021-03-19,ABT,close,option,-1,2.9729158891244865,-297.2915889124487,110,2021-04-19,put,dispersion,stop_loss
2021-03-19,PEP,close,option,-1,2.3438610793154666,-234.38610793154666,118,2021-04-19,put,dispersion,stop_loss
2021-03-19,ACN,close,option,-1,7.448608643478522,-744.8608643478522,253,2021-04-19,call,dispersion,stop_loss
2021-03-19,T,close,option,-3,0.4916973658910493,-147.5092097673148,17,2021-04-19,call,dispersion,stop_loss
2021-03-19,ISRG,close,option,-1,9.31993416327576,-931.9934163275761,233,2021-04-19,put,dispersion,stop_loss
2021-03-19,QCOM,close,option,-1,7.5049238985953295,-750.492389859533,119,2021-04-19,call,dispersion,stop_loss
2021-03-19,QCOM,close,option,-1,6.102076535109788,-610.2076535109788,119,2021-04-19,put,dispersion,stop_loss
2021-03-19,RTX,close,option,-1,3.0081042773084548,-300.8104277308455,71,2021-04-19,put,dispersion,stop_loss
2021-03-19,GS,close,option,-1,10.700776654464903,-1070.0776654464903,315,2021-04-19,call,dispersion,stop_loss
2021-03-19,AMGN,close,option,-1,4.799192608423837,-479.9192608423837,215,2021-04-19,put,dispersion,stop_loss
2021-03-22,SPY,close,option,32,6.551338923889233,20964.284556445546,369,2021-04-19,put,dispersion,stop_loss
2021-03-22,AAPL,close,option,-4,4.030843975827139,-1612.3375903308556,118,2021-04-19,put,dispersion,stop_loss
2021-03-22,NVDA,close,option,-21,0.9180061502687833,-1927.8129155644451,13,2021-04-19,put,dispersion,stop_loss
2021-03-22,MSFT,close,option,-3,4.709307671593521,-1412.7923014780563,223,2021-04-19,put,dispersion,stop_loss
2021-03-22,GOOGL,close,option,-2,3.765868988999543,-753.1737977999086,101,2021-04-19,call,dispersion,stop_loss
2021-03-22,GOOGL,close,option,-2,3.5596449245359594,-711.9289849071919,101,2021-04-19,put,dispersion,stop_loss
2021-03-22,GOOG,close,option,-1,3.7607551161583004,-376.07551161583,101,2021-04-19,call,dispersion,stop_loss
2021-03-22,GOOG,close,option,-1,3.1569251556987012,-315.6925155698701,101,2021-04-19,put,dispersion,stop_loss
2021-03-22,TSLA,close,option,-1,22.33389331897918,-2233.389331897918,218,2021-04-19,put,dispersion,stop_loss
2021-03-22,LLY,close,option,-1,6.691976281305472,-669.1976281305472,176,2021-04-19,put,dispersion,stop_loss
2021-03-22,XOM,close,option,-1,1.823003134023768,-182.3003134023768,49,2021-04-19,call,dispersion,stop_loss
2021-03-22,PG,close,option,-1,2.0309071118000332,-203.09071118000332,117,2021-04-19,put,dispersion,stop_loss
2021-03-22,JNJ,close,option,-1,3.1979632023734013,-319.7963202373401,143,2021-04-19,call,dispersion,stop_loss
2021-03-22,JNJ,close,option,-1,2.720112944986383,-272.0112944986383,143,2021-04-19,put,dispersion,stop_loss
